date,Bus,Rail
2023-02-25,162583.0,467522.0
2023-02-26,151691.0,414568.0
2023-02-27,210994.0,627823.0
2023-02-28,219250.0,661127.0
2023-03-01,220272.0,703298.0
2023-03-02,217793.0,702361.0
2023-03-03,216510.0,697913.0
2023-03-04,173994.0,576840.0
2023-03-05,172402.0,460778.0
2023-03-06,227951.0,678605.0
2023-03-07,230867.0,710422.0
2023-03-08,233069.0,735805.0
2023-03-09,230073.0,717579.0
2023-03-10,236711.0,709633.0
2023-03-11,185570.0,489711.0
2023-03-12,190497.0,446364.0
2023-03-13,231328.0,681540.0
2023-03-14,245995.0,718145.0
2023-03-15,256497.0,735493.0
2023-03-16,251791.0,766020.0
2023-03-17,252674.0,803831.0
2023-03-18,197469.0,638361.0
2023-03-19,191313.0,578284.0
2023-03-20,256080.0,748048.0
2023-03-21,262434.0,794885.0
2023-03-22,263474.0,818166.0
2023-03-23,239937.0,724118.0
2023-03-24,243916.0,734262.0
2023-03-25,167085.0,471122.0
2023-03-26,162253.0,460159.0
2023-03-27,240355.0,706039.0
2023-03-28,245582.0,740715.0
2023-03-29,246675.0,750267.0
2023-03-30,245578.0,753825.0
2023-03-31,244382.0,779577.0
2023-04-01,171899.0,446356.0
2023-04-02,162303.0,395136.0
2023-04-03,245716.0,689243.0
2023-04-04,249652.0,722339.0
2023-04-05,247903.0,729031.0
2023-04-06,253540.0,738204.0
2023-04-07,247575.0,737654.0
2023-04-08,177618.0,495397.0
2023-04-09,186852.0,450785.0
2023-04-10,250570.0,714194.0
2023-04-11,252260.0,743291.0
2023-04-12,251502.0,751059.0
2023-04-13,246892.0,746333.0
2023-04-14,246068.0,754643.0
2023-04-15,181481.0,510715.0
2023-04-16,181042.0,441019.0
2023-04-17,242385.0,718583.0
2023-04-18,241766.0,763234.0
2023-04-19,232009.0,728626.0
2023-04-20,210839.0,621264.0
2023-04-21,157444.0,538269.0
2023-04-22,156531.0,487670.0
2023-04-23,181360.0,521382.0
2023-04-24,147445.0,407402.0
2023-04-25,179213.0,555224.0
2023-04-26,192573.0,600963.0
2023-04-27,195673.0,630323.0
2023-04-28,198863.0,636324.0
2023-04-29,162486.0,462652.0
2023-04-30,162927.0,455471.0
2023-05-01,160386.0,438534.0
2023-05-02,243907.0,714492.0
2023-05-03,242946.0,733224.0
2023-05-04,160246.0,435052.0
2023-05-05,233119.0,676614.0
2023-05-06,175420.0,470981.0
2023-05-07,174404.0,422387.0
2023-05-08,244900.0,708684.0
2023-05-09,245077.0,742916.0
2023-05-10,251146.0,749915.0
2023-05-11,246071.0,747756.0
2023-05-12,240169.0,768705.0
2023-05-13,176082.0,512024.0
2023-05-14,168289.0,449786.0
2023-05-15,231771.0,736052.0
2023-05-16,239111.0,758832.0
2023-05-17,236375.0,775174.0
2023-05-18,237704.0,751826.0
2023-05-19,234215.0,750254.0
2023-05-20,173175.0,534671.0
2023-05-21,164404.0,453201.0
2023-05-22,232160.0,718895.0
2023-05-23,233678.0,745950.0
2023-05-24,235939.0,753359.0
2023-05-25,230670.0,759132.0
2023-05-26,233144.0,782513.0
2023-05-27,178457.0,601528.0
2023-05-28,170346.0,526184.0
2023-05-29,221302.0,780745.0
2023-05-30,223790.0,814913.0
2023-05-31,226149.0,837658.0
2023-06-01,230557.0,837739.0
2023-06-02,227124.0,812026.0
2023-06-03,184818.0,623235.0
2023-06-04,180202.0,586359.0
2023-06-05,156919.0,457344.0
2023-06-06,237483.0,769955.0
2023-06-07,240063.0,787183.0
2023-06-08,243801.0,797102.0
2023-06-09,237760.0,780737.0
2023-06-10,179150.0,545011.0
2023-06-11,177290.0,477688.0
2023-06-12,233490.0,743763.0
2023-06-13,236640.0,775755.0
2023-06-14,234097.0,787735.0
2023-06-15,237804.0,785660.0
2023-06-16,236348.0,776847.0
2023-06-17,175561.0,521966.0
2023-06-18,168433.0,459882.0
2023-06-19,233819.0,737813.0
2023-06-20,238534.0,771520.0
2023-06-21,237745.0,777948.0
2023-06-22,233285.0,773469.0
2023-06-23,231308.0,770802.0
2023-06-24,175703.0,517684.0
2023-06-25,165947.0,444843.0
2023-06-26,232697.0,721841.0
2023-06-27,236622.0,816512.0
2023-06-28,228408.0,772113.0
2023-06-29,156802.0,495057.0
2023-06-30,193446.0,646601.0
2023-07-01,165725.0,488143.0
2023-07-02,158345.0,439654.0
2023-07-03,232179.0,750829.0
2023-07-04,238361.0,794421.0
2023-07-05,242273.0,812162.0
2023-07-06,240944.0,806224.0
2023-07-07,233967.0,805105.0
2023-07-08,185198.0,557341.0
2023-07-09,178201.0,481324.0
2023-07-10,240194.0,782789.0
2023-07-11,238862.0,816197.0
2023-07-12,243928.0,825819.0
2023-07-13,241181.0,818696.0
2023-07-14,241985.0,808814.0
2023-07-15,181226.0,573622.0
2023-07-16,168886.0,468719.0
2023-07-17,240124.0,773157.0
2023-07-18,242899.0,817392.0
2023-07-19,150031.0,467014.0
2023-07-20,239804.0,796945.0
2023-07-21,236776.0,785354.0
2023-07-22,168966.0,506606.0
2023-07-23,160593.0,432313.0
2023-07-24,237062.0,763784.0
2023-07-25,243578.0,803420.0
2023-07-26,245789.0,817953.0
2023-07-27,243166.0,809354.0
2023-07-28,243663.0,821334.0
2023-07-29,177917.0,592579.0
2023-07-30,168870.0,471077.0
2023-07-31,238278.0,774841.0
2023-08-01,247724.0,814919.0
2023-08-02,249318.0,829845.0
2023-08-03,245278.0,813658.0
2023-08-04,241471.0,811363.0
2023-08-05,181175.0,569171.0
2023-08-06,176677.0,497090.0
2023-08-07,244678.0,789631.0
2023-08-08,247473.0,824245.0
2023-08-09,248139.0,839837.0
