origin,destination,total_ridership,origin_label,destination_label,log_ridership
AG07: Masjid Jamek,AG06: Bandaraya,59382,Masjid Jamek,Bandaraya,4.77365482064865
AG07: Masjid Jamek,AG10: Pudu,21406,Masjid Jamek,Pudu,4.3305355210905585
AG07: Masjid Jamek,AG18: Ampang,16540,Masjid Jamek,Ampang,4.218535505216527
AG07: Masjid Jamek,KG06: Kota Damansara,2397,Masjid Jamek,Kota Damansara,3.379668034033654
AG07: Masjid Jamek,KG07: Surian,2720,Masjid Jamek,Surian,3.4345689040341987
AG07: Masjid Jamek,KG08: Mutiara Damansara,3155,Masjid Jamek,Mutiara Damansara,3.498999363580153
AG07: Masjid Jamek,KG09: Bandar Utama,4276,Masjid Jamek,Bandar Utama,3.6310376965367404
AG07: Masjid Jamek,KG10: TTDI,2910,Masjid Jamek,TTDI,3.4638929889859074
AG07: Masjid Jamek,KG13: Pusat Bandar Damansara,1520,Masjid Jamek,Pusat Bandar Damansara,3.1818435879447726
AG07: Masjid Jamek,KG14: Semantan,2211,Masjid Jamek,Semantan,3.344588742578714
AG07: Masjid Jamek,KG15: Muzium Negara,893,Masjid Jamek,Muzium Negara,2.9508514588885464
AG07: Masjid Jamek,KG16: Pasar Seni,14545,Masjid Jamek,Pasar Seni,4.162713725583078
AG07: Masjid Jamek,KG18: Bukit Bintang,25373,Masjid Jamek,Bukit Bintang,4.404371819465281
AG07: Masjid Jamek,KG20: Tun Razak Exchange,10395,Masjid Jamek,Tun Razak Exchange,4.016824493667488
AG07: Masjid Jamek,KG21: Cochrane,7656,Masjid Jamek,Cochrane,3.8840019247687874
AG07: Masjid Jamek,KG22: Maluri,10388,Masjid Jamek,Maluri,4.0165319409572655
AG07: Masjid Jamek,KG25: Taman Mutiara,3123,Masjid Jamek,Taman Mutiara,3.4945719842301988
AG07: Masjid Jamek,KG26: Taman Connaught,2548,Masjid Jamek,Taman Connaught,3.406199423663313
AG07: Masjid Jamek,KG35: Kajang,6786,Masjid Jamek,Kajang,3.831613855309099
AG07: Masjid Jamek,KJ02: Taman Melati,15268,Masjid Jamek,Taman Melati,4.183782151277061
AG07: Masjid Jamek,KJ03: Wangsa Maju,18252,Masjid Jamek,Wangsa Maju,4.261310460100623
AG07: Masjid Jamek,KJ04: Sri Rampai,13440,Masjid Jamek,Sri Rampai,4.128399268717806
AG07: Masjid Jamek,KJ09: Ampang Park,18208,Masjid Jamek,Ampang Park,4.260262244714977
AG07: Masjid Jamek,KJ10: KLCC,88177,Masjid Jamek,KLCC,4.945355318967406
AG07: Masjid Jamek,KJ13: Masjid Jamek,10964,Masjid Jamek,Masjid Jamek,4.03996902686746
AG07: Masjid Jamek,KJ14: Pasar Seni,32134,Masjid Jamek,Pasar Seni,4.506964789348663
AG07: Masjid Jamek,KJ15: KL Sentral,86968,Masjid Jamek,KL Sentral,4.939359482734759
AG07: Masjid Jamek,KJ16: Bank Rakyat Bangsar,18972,Masjid Jamek,Bank Rakyat Bangsar,4.278113115979834
AG07: Masjid Jamek,KJ17: Abdullah Hukum,19863,Masjid Jamek,Abdullah Hukum,4.29804484260098
AG07: Masjid Jamek,KJ18: Kerinchi,8522,Masjid Jamek,Kerinchi,3.9305415298644344
AG07: Masjid Jamek,KJ19: Universiti,14523,Masjid Jamek,Universiti,4.162056337360552
AG07: Masjid Jamek,KJ21: Asia Jaya,8100,Masjid Jamek,Asia Jaya,3.90848501887865
AG07: Masjid Jamek,KJ28: Subang Jaya,7081,Masjid Jamek,Subang Jaya,3.8500945943867007
AG07: Masjid Jamek,MR01: KL Sentral,765,Masjid Jamek,KL Sentral,2.8836614351536176
AG07: Masjid Jamek,MR04: Hang Tuah,21245,Masjid Jamek,Hang Tuah,4.327256735425533
AG07: Masjid Jamek,MR05: Imbi,7226,Masjid Jamek,Imbi,3.8588979572320032
AG07: Masjid Jamek,MR06: Bukit Bintang,11112,Masjid Jamek,Bukit Bintang,4.045792232729559
AG07: Masjid Jamek,SP15: Bandar Tasik Selatan,27589,Masjid Jamek,Bandar Tasik Selatan,4.440735959183332
AG10: Pudu,AG04: PWTC,13359,Pudu,PWTC,4.125773949850886
AG10: Pudu,AG06: Bandaraya,17999,Pudu,Bandaraya,4.255248376961857
AG10: Pudu,AG07: Masjid Jamek,47253,Pudu,Masjid Jamek,4.674429386222765
AG10: Pudu,AG18: Ampang,14483,Pudu,Ampang,4.160858530679992
AG10: Pudu,KG06: Kota Damansara,1342,Pudu,Kota Damansara,3.1277525158329733
AG10: Pudu,KG07: Surian,2250,Pudu,Surian,3.3521825181113627
AG10: Pudu,KG08: Mutiara Damansara,1972,Pudu,Mutiara Damansara,3.2949069106051923
AG10: Pudu,KG09: Bandar Utama,2981,Pudu,Bandar Utama,3.4743619760326307
AG10: Pudu,KG10: TTDI,2625,Pudu,TTDI,3.4191293077419758
AG10: Pudu,KG13: Pusat Bandar Damansara,2499,Pudu,Pusat Bandar Damansara,3.39776625612645
AG10: Pudu,KG14: Semantan,4643,Pudu,Semantan,3.666798683666174
AG10: Pudu,KG15: Muzium Negara,1059,Pudu,Muzium Negara,3.024895960107485
AG10: Pudu,KG16: Pasar Seni,2232,Pudu,Pasar Seni,3.348694190265541
AG10: Pudu,KG18: Bukit Bintang,3466,Pudu,Bukit Bintang,3.539828558377898
AG10: Pudu,KG20: Tun Razak Exchange,6235,Pudu,Tun Razak Exchange,3.7948364578145615
AG10: Pudu,KG21: Cochrane,4219,Pudu,Cochrane,3.625209525381881
AG10: Pudu,KG22: Maluri,19156,Pudu,Maluri,4.28230482837057
AG10: Pudu,KG25: Taman Mutiara,8935,Pudu,Taman Mutiara,3.951094556841663
AG10: Pudu,KG26: Taman Connaught,5041,Pudu,Taman Connaught,3.7025166974381505
AG10: Pudu,KG35: Kajang,3003,Pudu,Kajang,3.477555332198981
AG10: Pudu,KJ02: Taman Melati,1177,Pudu,Taman Melati,3.0707764628434346
AG10: Pudu,KJ03: Wangsa Maju,2745,Pudu,Wangsa Maju,3.4385423487861106
AG10: Pudu,KJ04: Sri Rampai,1120,Pudu,Sri Rampai,3.0492180226701815
AG10: Pudu,KJ09: Ampang Park,3087,Pudu,Ampang Park,3.4895366294820955
AG10: Pudu,KJ10: KLCC,8490,Pudu,KLCC,3.928907690243953
AG10: Pudu,KJ13: Masjid Jamek,630,Pudu,Masjid Jamek,2.7993405494535817
AG10: Pudu,KJ14: Pasar Seni,2965,Pudu,Pasar Seni,3.4720246977002813
AG10: Pudu,KJ15: KL Sentral,3562,Pudu,KL Sentral,3.551693915127225
AG10: Pudu,KJ16: Bank Rakyat Bangsar,5110,Pudu,Bank Rakyat Bangsar,3.708420900134713
AG10: Pudu,KJ17: Abdullah Hukum,4700,Pudu,Abdullah Hukum,3.6720978579357175
AG10: Pudu,KJ18: Kerinchi,2355,Pudu,Kerinchi,3.371990911464915
AG10: Pudu,KJ19: Universiti,1908,Pudu,Universiti,3.2805783703680764
AG10: Pudu,KJ21: Asia Jaya,2321,Pudu,Asia Jaya,3.3656751404559175
AG10: Pudu,KJ28: Subang Jaya,1059,Pudu,Subang Jaya,3.024895960107485
AG10: Pudu,MR01: KL Sentral,6286,Pudu,KL Sentral,3.7983743766815614
AG10: Pudu,MR04: Hang Tuah,20618,Pudu,Hang Tuah,4.314246535288421
AG10: Pudu,MR05: Imbi,10642,Pudu,Imbi,4.027023254588704
AG10: Pudu,MR06: Bukit Bintang,17938,Pudu,Bukit Bintang,4.25377401967888
AG10: Pudu,SP15: Bandar Tasik Selatan,16788,Pudu,Bandar Tasik Selatan,4.224998960539453
AG18: Ampang,AG04: PWTC,9685,Ampang,PWTC,3.9860996250551297
AG18: Ampang,AG06: Bandaraya,25744,Ampang,Bandaraya,4.410676026754954
AG18: Ampang,AG07: Masjid Jamek,35890,Ampang,Masjid Jamek,4.55497345833324
AG18: Ampang,AG10: Pudu,14616,Ampang,Pudu,4.1648285343444815
AG18: Ampang,KG06: Kota Damansara,1955,Ampang,Kota Damansara,3.2911467617318855
AG18: Ampang,KG07: Surian,2252,Ampang,Surian,3.3525683861793087
